|dayOfTweet|approxLocation|hashtag|numOfTweets|spamEvent|usersPerHashtag|std
185436|2015-06-10|('47.366', '9.706')|#semih|5|True|1|379.7307330201231
103214|2015-04-28|('46.956', '7.495')|#bestfandomca2015|126|True|1|378.67288451244906
127387|2015-05-12|('46.899', '7.401')|#digitalization|5|True|1|378.26001953388857
456516|2015-11-16|('46.255', '6.057')|#lhc|5|True|1|378.04160294279194
527533|2015-12-23|('47.372', '7.329')|#viveahoradesalia|5|True|1|377.3627037156104
449228|2015-11-13|('47.135', '8.526')|#thefeeling|6|True|1|376.5357776210697
284582|2015-07-30|('46.255', '6.057')|#lhc|15|True|1|375.48480409159527
465926|2015-11-20|('46.520', '6.633')|#lausanne|10|True|1|374.94079852691414
103191|2015-04-28|('46.255', '6.057')|#lhc|18|True|1|374.82199223200365
4768|2015-01-04|('46.208', '6.144')|#vrgnii|6|True|1|374.5791697539791
350564|2015-08-29|('46.093', '7.234')|#ixs|7|True|1|374.5767868413135
452090|2015-11-14|('47.784', '9.610')|#ravensburg|5|True|1|374.25319272741916
315550|2015-08-14|('46.161', '7.117')|#injjwetrust|5|True|1|373.9515463859515
209236|2015-06-22|('46.255', '6.057')|#lhc|18|True|1|373.2363095237568
218284|2015-06-27|('46.954', '7.395')|#bigdata|5|True|1|372.77297932000266
175557|2015-06-05|('46.255', '6.057')|#lhc|16|True|1|372.35130444147876
506457|2015-12-11|('46.206', '6.142')|#geneve|5|True|1|371.93692186235614
216375|2015-06-26|('46.255', '6.057')|#lhc|9|True|1|371.7752719396339
351150|2015-08-29|('46.205', '6.143')|#lka|5|True|1|371.32941117019
400080|2015-09-20|('46.255', '6.057')|#lhc|12|True|1|371.2356507702052
263308|2015-07-19|('46.255', '6.057')|#lhc|29|True|1|371.22222830049344
443125|2015-11-10|('46.206', '6.142')|#geneve|34|True|1|370.9644217459632
350570|2015-08-29|('46.093', '7.234')|#gopro|5|True|1|370.83976240119904
129345|2015-05-13|('47.491', '6.742')|#moresurnrj|21|True|1|370.7775672830716
73207|2015-02-25|('46.813', '8.224')|#wradioméxico|6|True|1|370.7748794962142
301503|2015-08-07|('46.793', '9.822')|#davos|20|True|1|370.7242889217374
204919|2015-06-20|('45.816', '9.221')|#chi|12|True|1|369.99933292346856
402051|2015-09-21|('46.255', '6.057')|#lhc|23|True|1|367.6143906631544
345271|2015-08-27|('46.205', '6.143')|#lka|5|True|1|367.301020750616
481453|2015-11-28|('46.255', '6.057')|#lhc|16|True|1|367.0743006346466
350567|2015-08-29|('46.093', '7.234')|#verbier|8|True|1|366.8622988289793
350569|2015-08-29|('46.093', '7.234')|#vtt|8|True|1|366.8622988289793
351018|2015-08-29|('46.205', '6.143')|#srilanka|6|True|1|366.83799881765685
322923|2015-08-18|('46.255', '6.057')|#lhc|21|True|1|366.2255678327109
458555|2015-11-17|('46.255', '6.057')|#lhc|16|True|1|366.09898497703495
122355|2015-05-09|('47.560', '7.583')|#baselpappa|5|True|1|365.37204548545066
54324|2015-02-15|('45.849', '8.835')|#libera|10|True|1|364.49731476300957
521078|2015-12-19|('46.520', '6.633')|#lausanne|6|True|1|364.2399390329517
105003|2015-04-29|('46.956', '7.495')|#bestfandomca2015|105|True|1|364.1739163996239
402312|2015-09-21|('47.377', '8.537')|#wahlch15|9|True|1|363.8807075416168
113553|2015-05-04|('47.201', '5.941')|#bestfandomca2015|6|True|1|363.36968829330056
101855|2015-04-27|('46.255', '6.057')|#lhc|16|True|1|363.19196062045705
404284|2015-09-22|('47.340', '7.902')|#ffgsw|5|True|1|362.56351575352363
225535|2015-06-30|('47.560', '7.583')|#u21em|8|True|1|362.49734038775296
474203|2015-11-24|('46.255', '6.057')|#lhc|5|True|1|361.8894896389105
467778|2015-11-21|('46.255', '6.057')|#lhc|16|True|1|361.77667647527124
321298|2015-08-17|('46.255', '6.057')|#lhc|16|True|1|361.61972147407056
413868|2015-10-26|('46.255', '6.057')|#lhc|18|True|1|361.3700981737157
479783|2015-11-27|('47.377', '8.537')|#lpdla3|8|True|1|359.54397100123
475843|2015-11-25|('46.255', '6.057')|#lhc|21|True|1|359.54377736168124
312848|2015-08-13|('46.255', '6.057')|#lhc|24|True|1|358.9799336210498
305424|2015-08-09|('46.205', '6.143')|#srilanka|6|True|1|358.842006741782
443210|2015-11-10|('47.703', '10.058')|#ausderklapse|7|True|1|358.6892401635019
102|2015-01-01|('46.013', '8.952')|#ss5|6|True|1|358.3614635814612
317113|2015-08-15|('46.255', '6.057')|#lhc|20|True|1|357.85794748735304
443462|2015-11-10|('46.813', '8.224')|#srilanka|7|True|1|357.7267199522569
236212|2015-07-05|('46.944', '8.412')|#oxi|7|True|1|357.5237179389486
532245|2015-12-26|('46.560', '7.894')|#murren|6|True|1|356.74100129670103
532246|2015-12-26|('46.560', '7.894')|#switzerland|6|True|1|356.74100129670103
478161|2015-11-26|('45.831', '8.807')|#ski|8|True|1|356.4642113288981
281158|2015-07-28|('46.255', '6.057')|#lhc|6|True|1|356.4370016995368
118811|2015-05-07|('46.255', '6.057')|#lhc|16|True|1|355.7379775491927
308788|2015-08-11|('46.255', '6.057')|#lhc|28|True|1|355.2215272152137
233987|2015-07-04|('46.255', '6.057')|#lhc|37|True|1|353.8703393803643
388783|2015-09-15|('47.377', '8.537')|#zp15|5|True|1|353.63941418720094
141832|2015-05-20|('46.255', '6.057')|#lhc|20|True|1|353.1438538831119
350479|2015-08-29|('47.044', '9.888')|#fail|12|True|1|352.9699385435424
207411|2015-06-21|('47.560', '7.583')|#ägyptens|9|True|1|352.9236702216833
339755|2015-08-25|('46.205', '6.143')|#lka|9|True|1|352.8937015232206
89716|2015-03-07|('46.255', '6.057')|#lhc|34|True|1|352.82735341217534
330023|2015-08-21|('46.954', '7.395')|#bigdata|6|True|1|352.4488275723141
404208|2015-09-22|('46.255', '6.057')|#lhc|22|True|1|350.9629234398936
332173|2015-08-22|('46.748', '10.330')|#graubünden|7|True|1|350.29019564897965
123833|2015-05-10|('46.255', '6.057')|#lhc|9|True|1|350.18560749724816
378232|2015-09-10|('46.821', '6.936')|#otherwise|8|True|1|349.82563441881695
207416|2015-06-21|('47.560', '7.583')|#ägypten|12|True|1|349.8206603666617
395566|2015-09-18|('46.205', '6.143')|#tamil|5|True|1|349.52061131403013
275331|2015-07-25|('46.205', '6.143')|#apositvemessage|149|True|1|349.34876715524257
506150|2015-12-11|('47.046', '8.309')|#luzern|7|True|1|349.3256152267033
478164|2015-11-26|('45.831', '8.807')|#sci|7|True|1|349.1968138723406
307003|2015-08-10|('46.255', '6.057')|#lhc|18|True|1|349.0308444643785
421896|2015-10-30|('47.424', '9.363')|#savedominion|23|True|1|348.5958422123383
393107|2015-09-17|('46.255', '6.057')|#lhc|17|True|1|347.6940578722358
45264|2015-02-09|('46.899', '7.401')|#merkel|8|True|1|347.50328405722377
388250|2015-09-15|('46.255', '6.057')|#lhc|19|True|1|346.9608311892012
483321|2015-11-29|('46.255', '6.057')|#lhc|10|True|1|345.27508577702696
408780|2015-10-24|('46.740', '7.638')|#thevoicekids|5|True|1|345.0362204175092
12687|2015-01-09|('45.849', '8.835')|#buoncompleannoannatatangelo|8|True|1|344.256062031825
527512|2015-12-23|('46.813', '8.224')|#aldubmybebeloveparade|6|True|1|344.11447124610675
250147|2015-07-12|('46.255', '6.057')|#lhc|36|True|1|343.83616735465534
265301|2015-07-20|('46.255', '6.057')|#lhc|10|True|1|343.36825738232966
508235|2015-12-12|('46.813', '8.224')|#apple|11|True|1|342.5231563425369
498424|2015-12-07|('46.255', '6.057')|#lhc|11|True|1|341.94134312711816
220862|2015-06-28|('46.255', '6.057')|#lhc|7|True|1|341.58439716340604
340107|2015-08-25|('46.205', '6.143')|#genelecsl|6|True|1|341.531604424814
514204|2015-12-15|('46.206', '6.142')|#geneve|6|True|1|341.2464100227211
78298|2015-02-28|('46.201', '6.137')|#eurovision|9|True|1|340.9587795041912
339756|2015-08-25|('46.205', '6.143')|#srilanka|8|True|1|340.79671347182096
429995|2015-11-03|('45.917', '9.345')|#emmasansiro|22|True|1|340.6969951041919
147979|2015-05-23|('47.135', '8.526')|#buencamino|6|True|1|340.4913976746433
180210|2015-06-07|('46.255', '6.057')|#lhc|31|True|1|340.47735813737836
113931|2015-05-04|('46.205', '6.143')|#srilanka|6|True|1|340.3078248071883
113932|2015-05-04|('46.205', '6.143')|#lka|6|True|1|340.3078248071883
530641|2015-12-25|('46.803', '7.160')|#iphone6|6|True|1|340.21389641864727
530642|2015-12-25|('46.803', '7.160')|#nperf|6|True|1|340.21389641864727
192989|2015-06-14|('46.255', '6.057')|#lhc|20|True|1|339.54174422627665
508237|2015-12-12|('46.813', '8.224')|#ios92|7|True|1|339.0717003887749
421895|2015-10-30|('47.424', '9.363')|#dominion|30|True|1|339.0062193159243
378154|2015-09-10|('46.255', '6.057')|#lhc|13|True|1|338.50044670010936
487879|2015-12-01|('47.044', '9.888')|#fpö|6|True|1|338.2390270409082
458818|2015-11-17|('46.205', '6.143')|#seppbakker|5|True|1|337.7338876163368
197446|2015-06-16|('46.569', '6.511')|#1dcometoswitzerlandfor2016|7|True|1|336.7438707362883
472368|2015-11-23|('47.703', '10.058')|#ausderklapse|6|True|1|335.97292817205704
350785|2015-08-29|('46.093', '7.234')|#valais|6|True|1|335.95585520052856
446979|2015-11-12|('47.557', '7.593')|#basel|5|True|1|334.9326523679383
481646|2015-11-28|('46.206', '6.142')|#geneve|5|True|1|334.9214074641658
102075|2015-04-27|('47.350', '9.671')|#semih|9|True|1|334.91829076409095
382666|2015-09-12|('46.207', '7.848')|#bigdata|6|True|1|334.77643618125546
256160|2015-07-15|('47.558', '7.588')|#aboller|6|True|1|334.4263688821557
50438|2015-02-12|('47.044', '9.888')|#spö|5|True|1|334.0533777374175
350478|2015-08-29|('47.044', '9.888')|#wtf|12|True|1|333.7769423397223
465978|2015-11-20|('46.947', '7.444')|#bern|6|True|1|333.4224603067961
209214|2015-06-22|('46.264', '6.162')|#camerontoswitzerland|5|True|1|333.3006259620085
246059|2015-07-10|('47.722', '7.283')|#lrt|15|True|1|333.1047009352843
485694|2015-11-30|('47.377', '8.537')|#lpdla3|10|True|1|332.42547275040965
457064|2015-11-16|('47.465', '9.752')|#mtvstars|62|True|1|332.35790425096644
351115|2015-08-29|('46.813', '8.224')|#youtubegaming|5|True|1|330.7232298060318
351116|2015-08-29|('46.813', '8.224')|#like|5|True|1|330.7232298060318
351117|2015-08-29|('46.813', '8.224')|#subscribe|5|True|1|330.7232298060318
351118|2015-08-29|('46.813', '8.224')|#1080p|5|True|1|330.7232298060318
351119|2015-08-29|('46.813', '8.224')|#gameplay|5|True|1|330.7232298060318
218146|2015-06-27|('46.255', '6.057')|#lhc|11|True|1|330.6984384451833
335036|2015-08-23|('45.841', '8.725')|#mtvhottest|12|True|1|330.2619491347684
408718|2015-10-24|('47.424', '9.363')|#dominion|14|True|1|330.2326780484892
408719|2015-10-24|('47.424', '9.363')|#savedominion|14|True|1|330.2326780484892
319112|2015-08-16|('46.206', '6.142')|#geneve|36|True|1|329.9439452339257
309395|2015-08-11|('47.201', '5.941')|#cantat|7|True|1|329.6209871848935
178108|2015-06-06|('46.205', '6.143')|#amf|5|True|1|329.49526680127656
168220|2015-06-01|('46.156', '8.771')|#ascona|6|True|1|329.3337412020454
168222|2015-06-01|('46.156', '8.771')|#swizerland|6|True|1|329.3337412020454
